0.81472,-0.14798,0.9254,5.5757,3.6072,2.7947,2.0826,-0.342,-0.214,-0.03,0.196,0.011861,0.02436,0.035346,0.04377,5.3551,3.2287,2.2553,1.3712
0.91338,-0.57749,0.91951,6.733,4.4629,3.4151,2.4869,-0.34,-0.21,-0.026,0.202,0.010046,0.020206,0.030172,0.037996,6.556,4.1515,2.9618,1.846
0.2785,-0.71176,1.0915,12.384,8.3863,6.1949,4.281,-0.37,-0.278,-0.146,0.022,0.0041921,0.0078905,0.012702,0.017985,12.29,8.2139,5.9374,3.9402
0.96489,-1.3232,1.0941,7.8682,5.2212,3.9698,2.8794,-0.368,-0.274,-0.14,0.032,0.0063341,0.012708,0.019517,0.026521,7.7181,4.9546,3.5743,2.4079
0.95717,-0.80837,1.0601,7.2495,4.8448,3.6756,2.6807,-0.364,-0.266,-0.124,0.056,0.0072812,0.014348,0.021969,0.02958,7.0867,4.557,3.2531,2.1756
0.14189,-0.9083,1.0831,18.081,16.436,12.292,8.6318,-0.368,-0.274,-0.138,0.034,0.0030444,0.0041793,0.0068235,0.009424,18.032,16.348,12.165,8.4762
0.79221,-0.063629,1.0311,5.2842,3.4762,2.7014,2.0185,-0.36,-0.256,-0.106,0.084,0.010267,0.020569,0.030016,0.039803,5.0545,3.0845,2.146,1.3806
0.035712,-0.23699,1.0868,7.7269,4.379,2.7242,1.8346,-0.378,-0.292,-0.166,-0.004,0.0056953,0.013474,0.025173,0.036106,7.5611,4.0145,2.164,1.1194
0.67874,-0.38054,1.0486,6.1859,3.9992,3.0582,2.2412,-0.364,-0.264,-0.12,0.062,0.0084033,0.017321,0.026064,0.034979,5.9872,3.6523,2.5602,1.6535
0.39223,-0.54117,0.93424,8.3222,5.3312,3.9573,2.7907,-0.346,-0.222,-0.046,0.174,0.0077678,0.016192,0.025347,0.033013,8.1739,5.0621,3.5622,2.1939
0.70605,-1.5208,0.95538,8.9984,5.8224,4.3586,3.1635,-0.346,-0.224,-0.05,0.166,0.007263,0.014853,0.022984,0.029635,8.8629,5.5805,3.9957,2.6308
0.046171,-1.4182,1.0647,18.522,13.294,10.085,8.2474,-0.364,-0.264,-0.12,0.06,0.0030753,0.0057295,0.0087731,0.010544,18.472,13.197,9.9418,8.1012
0.69483,-1.0727,1.09,8.8411,5.9322,4.4355,3.2263,-0.368,-0.274,-0.14,0.032,0.0056976,0.011261,0.01769,0.023944,8.7081,5.6945,4.0828,2.8
0.034446,-0.88162,0.97631,23.89,27.898,23.897,27.747,-0.352,-0.238,-0.072,0.132,0.0025609,0.0034162,0.0046594,0.0035441,23.869,27.864,23.853,27.687
0.76552,-0.3217,0.93737,5.8241,3.8912,2.9879,2.1999,-0.346,-0.22,-0.042,0.18,0.011187,0.022068,0.032586,0.040755,5.6194,3.5358,2.4786,1.5094
0.48976,-0.87087,1.0293,9.2886,6.6408,4.9616,3.5539,-0.36,-0.256,-0.106,0.082,0.0058473,0.011173,0.01759,0.023957,9.1699,6.4271,4.645,3.1619
0.70936,-0.38534,0.95521,6.1102,4.0254,3.077,2.2589,-0.348,-0.228,-0.056,0.158,0.010256,0.020556,0.03071,0.038596,5.9127,3.6807,2.5816,1.5784
0.6797,-0.54177,0.93252,7.0387,4.5513,3.4512,2.5049,-0.344,-0.218,-0.04,0.184,0.0094139,0.019171,0.02903,0.036708,6.8645,4.2432,3.0036,1.8651
0.119,-0.78797,1.0919,23.983,18.3,13.112,9.3918,-0.37,-0.278,-0.146,0.022,0.0024831,0.0036227,0.0062514,0.0085493,23.939,18.221,12.996,9.2316
0.34039,-0.65146,0.94476,10.651,6.7649,4.9648,3.4693,-0.348,-0.226,-0.054,0.162,0.006244,0.012676,0.020283,0.026944,10.534,6.5513,4.6475,2.961
0.75127,-1.1701,1.0012,9.0266,5.8136,4.3641,3.1604,-0.356,-0.244,-0.086,0.114,0.0065955,0.013567,0.021001,0.028181,8.8905,5.5708,4.0034,2.7256
0.69908,-0.17137,1.0919,5.2674,3.4823,2.7018,2.0149,-0.37,-0.276,-0.142,0.028,0.0091488,0.018346,0.026939,0.036045,5.038,3.0903,2.1471,1.3759
0.54722,-1.353,0.92986,10.806,6.6333,5.0381,3.6467,-0.342,-0.212,-0.03,0.196,0.0064955,0.013699,0.021065,0.027266,10.689,6.4236,4.7235,3.172
0.25751,-0.2502,0.95086,4.8012,3.1518,2.3873,1.7738,-0.352,-0.234,-0.066,0.146,0.012484,0.024924,0.037219,0.047057,4.5468,2.714,1.7753,1.0069
0.81428,-1.1883,1.0859,8.8813,5.5691,4.2312,3.0561,-0.368,-0.272,-0.136,0.036,0.0058742,0.012121,0.018673,0.02541,8.7405,5.3183,3.8588,2.6091
